Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-04-01,00:04,Wednesday,BLOOR STATION,SUDP,6,11,S,YU,5766
2020-04-01,00:06,Wednesday,FINCH STATION,MUI,5,10,S,YU,5401
2020-04-01,01:55,Wednesday,FINCH STATION,MUIS,0,0,,YU,0
2020-04-01,02:37,Wednesday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6186
2020-04-01,05:14,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,05:16,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,05:52,Wednesday,GREENWOOD STATION,MUNOA,4,8,E,BD,0
2020-04-01,05:54,Wednesday,KENNEDY BD STATION,MUNOA,4,8,W,BD,0
2020-04-01,05:56,Wednesday,DAVISVILLE STATION,MUNOA,3,5,S,YU,0
2020-04-01,05:57,Wednesday,GREENWOOD STATION,PUTOE,0,0,E,BD,0
2020-04-01,06:00,Wednesday,DAVISVILLE STATION,MUNOA,3,5,N,YU,0
2020-04-01,06:08,Wednesday,BATHURST STATION,MUIS,0,0,,BD,0
2020-04-01,06:08,Wednesday,DUNDAS WEST STATION,SUDP,3,5,W,BD,5282
2020-04-01,06:13,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,06:21,Wednesday,ISLINGTON STATION,SUDP,3,5,W,BD,5282
2020-04-01,06:23,Wednesday,DUPONT STATION,MUI,3,5,S,YU,5776
2020-04-01,06:26,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,N,YU,0
2020-04-01,06:27,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,06:28,Wednesday,SHEPPARD WEST STATION,MUNOA,5,10,N,YU,0
2020-04-01,06:29,Wednesday,DONLANDS STATION,MUNOA,3,5,W,BD,0
2020-04-01,06:33,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,06:35,Wednesday,DAVISVILLE STATION,MUNOA,3,5,N,YU,0
2020-04-01,06:38,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,06:41,Wednesday,RUNNYMEDE STATION,SUDP,0,0,E,BD,0
2020-04-01,07:09,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,07:10,Wednesday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2020-04-01,07:11,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,07:21,Wednesday,ST ANDREW STATION,MUATC,3,5,S,YU,5676
2020-04-01,07:39,Wednesday,WILSON STATION,MUNOA,3,5,S,YU,0
2020-04-01,08:25,Wednesday,DUFFERIN STATION,SUDP,3,5,E,BD,5095
2020-04-01,09:09,Wednesday,WILSON STATION,MUATC,5,8,S,YU,5806
2020-04-01,10:08,Wednesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2020-04-01,10:21,Wednesday,FINCH STATION,MUIS,0,0,,YU,0
2020-04-01,12:04,Wednesday,FINCH STATION,MUTO,6,9,S,YU,5431
2020-04-01,13:11,Wednesday,WILSON STATION,MUTO,3,6,N,YU,5956
2020-04-01,13:59,Wednesday,VAUGHAN MC STATION,MUNOA,3,5,S,YU,0
2020-04-01,14:11,Wednesday,VAUGHAN MC STATION,MUNOA,3,5,S,YU,0
2020-04-01,14:19,Wednesday,SPADINA BD STATION,SUUT,4,7,E,BD,5315
2020-04-01,14:47,Wednesday,SPADINA YUS STATION,SUUT,47,50,N,YU,6046
2020-04-01,15:05,Wednesday,MCCOWAN STATION,MRNOA,3,8,S,SRT,3000
2020-04-01,15:23,Wednesday,DONLANDS STATION,MUNOA,3,6,W,BD,0
2020-04-01,15:26,Wednesday,COXWELL STATION,MUNOA,3,6,E,BD,0
2020-04-01,15:34,Wednesday,VAUGHAN MC STATION,MUNOA,3,5,S,YU,0
2020-04-01,15:36,Wednesday,COXWELL STATION,MUNOA,3,6,E,BD,0
