Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2020-10-01,504.0,05:31,Thursday,SUNNYSIDE LOOP,Emergency Services,5,10,,4567
2020-10-01,506.0,08:23,Thursday,DUNDAS WEST STATION,Cleaning,5,10,E,1586
2020-10-01,505.0,08:54,Thursday,PARLIAMENT ON DUNDAS,Emergency Services,13,21,S,4565
2020-10-01,511.0,13:11,Thursday,BATHURST STATION,Operations,4,8,S,1019
2020-10-01,501.0,13:41,Thursday,QUEEN AND EMPIRE,Held By,140,150,B,4422
2020-10-01,503.0,13:42,Thursday,QUEEN AND DEGRASSI,Held By,10,20,E,4501
2020-10-01,503.0,13:42,Thursday,QUEEN AND EMPIRE,Held By,20,30,W,4444
2020-10-01,504.0,14:21,Thursday,QUEEN AND BROADVIEW,Utilized Off Route,8,16,W,4510
2020-10-01,506.0,14:30,Thursday,MAIN STATION,Operations,6,12,W,1239
2020-10-01,512.0,14:33,Thursday,ST. CLAIR AND DUFFERIN,Investigation,7,17,E,4522
2020-10-01,504.0,14:34,Thursday,QUEEN AND BOOTH,Held By,8,16,W,4479
2020-10-01,505.0,14:55,Thursday,DUNDAS AND BROADVIEW,Held By,8,16,W,4574
2020-10-01,511.0,15:00,Thursday,SPADINA AND FRONT,General Delay,0,0,N,0
2020-10-01,501.0,16:37,Thursday,KIPLING N OF LAKESHORE,Collision - TTC Involved,15,25,N,4504
2020-10-01,503.0,17:02,Thursday,QUEEN AND JONES,Security,8,16,E,4414
2020-10-01,505.0,17:29,Thursday,DUNDAS AND BAY,Security,8,16,W,4545
2020-10-01,506.0,17:51,Thursday,CARLTON AND ONTARIO,Security,9,18,W,3740
2020-10-01,505.0,17:53,Thursday,DUNDAS AND BROADVIEW,Operations,8,16,W,4547
2020-10-01,501.0,19:04,Thursday,LAKESHORE AND 31ST STR,Held By,48,58,E,4507
2020-10-01,501.0,20:18,Thursday,NEVILLE LOOP,Emergency Services,0,0,W,4505
2020-10-01,511.0,20:18,Thursday,BATHURST AND BLOOR,Investigation,9,18,S,3565
2020-10-01,512.0,20:24,Thursday,BATHURST AND S OF VAUG,Emergency Services,0,0,S,4405
2020-10-01,512.0,21:09,Thursday,OAKWOOD LOOP,Security,8,16,,4405
2020-10-01,501.0,21:27,Thursday,KING AND DUFFERIN,Security,8,16,W,4432
2020-10-01,512.0,22:09,Thursday,ST. CLAIR STATION,Security,25,36,W,4440
