Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-08-01,504,00:45:00,Thursday,King and spadina,Diversion,94.0,102.0,B/W,4509.0
2019-08-01,53,02:12:00,Thursday,king and spadina,Diversion,73.0,88.0,B/W,4530.0
2019-08-01,301,03:27:00,Thursday,Humber loop,Mechanical,5.0,10.0,E/B,4574.0
2019-08-01,503,05:30:00,Thursday,Kingston/Queen,Utilized Off Route,12.0,24.0,W/B,8572.0
2019-08-01,501,05:43:00,Thursday,Neville Loop,Held By,10.0,18.0,W/B,4514.0
2019-08-01,505,06:27:00,Thursday,Dundas/Broadview,Mechanical,4.0,8.0,E/B,1119.0
2019-08-01,512,06:37:00,Thursday,Lansdowne and St.Clair,Mechanical,6.0,12.0,W/B,4431.0
2019-08-01,504,07:10:00,Thursday,Broadview/Queen,Held By,5.0,10.0,E/B,4439.0
2019-08-01,504,07:11:00,Thursday,Broadview/Queen,Held By,3.0,11.0,W/B,4410.0
2019-08-01,503,07:15:00,Thursday,Queen/Lee av.,Investigation,12.0,24.0,W/B,3116.0
2019-08-01,506,07:19:00,Thursday,College and Borden,Mechanical,5.0,10.0,W/B,4048.0
2019-08-01,503,07:49:00,Thursday,Queen/Kingston road,Mechanical,12.0,24.0,E/B,8555.0
2019-08-01,504,08:30:00,Thursday,Dufferin-Spadina,General Delay,7.0,14.0,B/W,
2019-08-01,504,08:36:00,Thursday,King/York,Investigation,7.0,11.0,E/B,4504.0
2019-08-01,504,09:32:00,Thursday,King/Dufferin,Held By,5.0,13.0,W/B,4444.0
2019-08-01,504,09:37:00,Thursday,King/Portland,Held By,6.0,10.0,E/B,4453.0
2019-08-01,506,09:46:00,Thursday,Carlaw and Gerrard,Mechanical,6.0,11.0,E/B,4103.0
2019-08-01,502,09:49:00,Thursday,Queen/Sackville,Mechanical,12.0,24.0,W/B,3102.0
2019-08-01,502,10:42:00,Thursday,Queen/University,Mechanical,12.0,24.0,W/B,8556.0
2019-08-01,510,10:53:00,Thursday,Queens Quay and Spadina,Emergency Services,4.0,8.0,S/B,4451.0
2019-08-01,509,11:19:00,Thursday,CNE Loop,Mechanical,1.0,1.0,W/B,4536.0
2019-08-01,505,11:51:00,Thursday,Dundas/Bay,Investigation,4.0,8.0,E/B,8557.0
2019-08-01,505,12:42:00,Thursday,Dundas/Jarvis,Investigation,4.0,8.0,E/B,1037.0
2019-08-01,705,14:16:00,Thursday,Gerrard and Coxwell,Investigation,1.0,2.0,W/B,4134.0
2019-08-01,501,15:04:00,Thursday,Humber Loop,Investigation,7.0,14.0,E/B,4547.0
2019-08-01,501,16:30:00,Thursday,Yonge / Queen,General Delay,14.0,21.0,E/B,4534.0
2019-08-01,502,16:32:00,Thursday,Kingston Rd. and Main,Mechanical,10.0,20.0,W/B,8501.0
2019-08-01,504,17:01:00,Thursday,Distillery Loop,Mechanical,7.0,13.0,W/B,4450.0
2019-08-01,505,17:04:00,Thursday,Dundas and Duffrin,Investigation,4.0,8.0,W/B,3138.0
2019-08-01,505,18:05:00,Thursday,Dundas West Station,Mechanical,5.0,10.0,E/B,1079.0
2019-08-01,510,19:14:00,Thursday,Spadina Bloor Tunnel,Overhead - Pantograph,4.0,8.0,S/B,4556.0
2019-08-01,505,19:28:00,Thursday,Broadview Station,Investigation,5.0,10.0,E/B,9235.0
2019-08-01,511,20:51:00,Thursday,Bathurst and Fleet,General Delay,18.0,25.0,S/B,4141.0
2019-08-01,501,21:03:00,Thursday,University,Mechanical,7.0,14.0,E/B,4435.0
2019-08-01,504,21:27:00,Thursday,Broadview and Dundas,Mechanical,8.0,16.0,N/B,4437.0
2019-08-01,501,23:00:00,Thursday,Humber loop,Mechanical,8.0,16.0,E/B,4467.0
2019-08-02,304,02:27:00,Friday,Broadview station,Held By,14.0,29.0,E/B,4469.0
2019-08-02,301,02:45:00,Friday,Longbranch loop,Mechanical,4.0,8.0,E/B,4479.0
2019-08-02,505,08:04:00,Friday,Broadview station,Emergency Services,4.0,8.0,W/B,8533.0
2019-08-02,509,13:09:00,Friday,Harbourfront Tunnel,Investigation,4.0,8.0,E/B,4532.0
2019-08-02,505,15:56:00,Friday,Broadview Station,Mechanical,4.0,8.0,W/B,1036.0
2019-08-02,512,16:09:00,Friday,St Clair West Lansdowne.,Investigation,9.0,13.0,E/B,4428.0
2019-08-02,512,16:33:00,Friday,St Clair West Lansdowne,Investigation,15.0,19.0,W/B,4524.0
2019-08-02,505,16:46:00,Friday,Kingston Road and Pickering Ave,Mechanical,8.0,16.0,W/B,8481.0
2019-08-02,512,18:17:00,Friday,St Clair West  Calendonia,Investigation,9.0,13.0,E/B,4457.0
2019-08-02,505,20:16:00,Friday,Dundas West Station and Edna Ave,Investigation,5.0,10.0,E/B,1141.0
2019-08-02,510,21:02:00,Friday,Spadina Queens Quay,Investigation,4.0,8.0,E/B,4426.0
2019-08-02,506,22:07:00,Friday,Broadview and Gerrard,Mechanical,8.0,16.0,W/B,4110.0
2019-08-02,506,22:50:00,Friday,Howard Park and Dundas,Mechanical,64.0,69.0,W/B,4171.0
2019-08-03,511,00:18:00,Saturday,Bathurst and Adelaide,Emergency Services,8.0,16.0,N/B,4124.0
2019-08-03,501,01:36:00,Saturday,Longbranch,Investigation,9.0,19.0,E/B,4506.0
2019-08-03,501,01:58:00,Saturday,Longbranch,Mechanical,9.0,19.0,E/B,4460.0
2019-08-03,501,03:17:00,Saturday,Longbranch,Mechanical,13.0,18.0,W/B,4458.0
2019-08-03,506,05:44:00,Saturday,College and Crawford,Mechanical,20.0,40.0,W/B,4071.0
2019-08-03,509,06:30:00,Saturday,Exhibition Loop,Overhead - Pantograph,10.0,20.0,E/B,4560.0
2019-08-03,501,07:47:00,Saturday,Neville Loop,Mechanical,10.0,17.0,W/B,4489.0
2019-08-03,501,08:25:00,Saturday,Queen/Spadina,Utilized Off Route,9.0,16.0,W/B,4439.0
2019-08-03,504,08:45:00,Saturday,Queen/spadina,Utilized Off Route,9.0,17.0,W/B,4490.0
2019-08-03,512,09:09:00,Saturday,St. Clair West Station,General Delay,7.0,5.0,B/W,4413.0
2019-08-03,511,09:17:00,Saturday,Bathurst and Queen,Mechanical,7.0,14.0,N/B,4042.0
2019-08-03,501,09:32:00,Saturday,Queen/Spadina,Utilized Off Route,7.0,10.0,W/B,4513.0
2019-08-03,512,09:48:00,Saturday,St. Clair West Station,Investigation,6.0,12.0,E/B,4428.0
2019-08-03,510,09:55:00,Saturday,Spadina and Queensquay,Diversion,8.0,16.0,S/B,4417.0
2019-08-03,501,10:21:00,Saturday,King/Spadina,Utilized Off Route,7.0,14.0,W/B,4448.0
2019-08-03,505,10:37:00,Saturday,Broadview Station,Mechanical,5.0,10.0,W/B,1146.0
2019-08-03,505,10:37:00,Saturday,Dundas West Station,Mechanical,5.0,10.0,E/B,1146.0
2019-08-03,504,11:50:00,Saturday,King/Bathurst,Held By,9.0,16.0,E/B,4515.0
2019-08-03,510,12:18:00,Saturday,Spadina and Sullivan,Investigation,9.0,13.0,N/B,4433.0
2019-08-03,501,13:15:00,Saturday,Triller Ave,Held By,42.0,47.0,W/B,4543.0
2019-08-03,504,14:32:00,Saturday,King and Jameson,General Delay,15.0,20.0,B/W,4455.0
2019-08-03,501,14:42:00,Saturday,Connaugh Ave,Mechanical,20.0,15.0,W/B,4512.0
2019-08-03,504,15:08:00,Saturday,King and Bay,Held By,222.0,226.0,B/W,4455.0
2019-08-03,501,15:40:00,Saturday,Russell Yard,Investigation,5.0,10.0,E/B,4526.0
2019-08-03,501,19:56:00,Saturday,Wilson Park,Investigation,17.0,22.0,E/B,4422.0
2019-08-03,511,20:11:00,Saturday,Bathurst and Queen,Mechanical,9.0,16.0,N/B,4480.0
2019-08-03,505,20:24:00,Saturday,Dundas and  Sherbourne,Investigation,6.0,12.0,W/B,8949.0
2019-08-03,506,20:29:00,Saturday,Coxwell and Gerrard,Emergency Services,1.0,1.0,E/B,4192.0
2019-08-03,504,22:12:00,Saturday,Dundas West Station,Emergency Services,13.0,22.0,E/B,4500.0
2019-08-03,501,22:34:00,Saturday,[Jamison,Held By,26.0,31.0,E/B,5421.0
2019-08-03,501,23:07:00,Saturday,Neville Park,Mechanical,10.0,15.0,E/B,4483.0
2019-08-04,501,00:11:00,Sunday,Russell yard,Investigation,10.0,20.0,W/B,4432.0
2019-08-04,504,00:11:00,Sunday,Spadina and King,Diversion,12.0,22.0,B/W,4469.0
2019-08-04,504,00:13:00,Sunday,Distillery Loop,Mechanical,10.0,20.0,N/B,4489.0
2019-08-04,504,00:29:00,Sunday,King/Spadina-King/Bathurst,Diversion,197.0,207.0,B/W,4445.0
2019-08-04,505,00:37:00,Sunday,Dundas and Bloor,Investigation,11.0,22.0,E/B,8594.0
2019-08-04,504,01:36:00,Sunday,Dundas West STN,Emergency Services,18.0,28.0,S/B,4468.0
2019-08-04,301,01:55:00,Sunday,Longbranch,Mechanical,10.0,20.0,W/B,4544.0
2019-08-04,304,03:29:00,Sunday,King and Bathurst,Mechanical,15.0,30.0,W/B,4415.0
2019-08-04,506,03:36:00,Sunday,Dundas West STN,Emergency Services,18.0,28.0,E/B,4119.0
2019-08-04,306,04:33:00,Sunday,Dovercourt and College,Held By,48.0,78.0,W/B,4155.0
2019-08-04,504,09:06:00,Sunday,Roncesvalles and King,Held By,6.0,12.0,E/B,4453.0
2019-08-04,504,09:10:00,Sunday,Roncesvalles and King,Late Leaving Garage,6.0,12.0,N/B,4453.0
2019-08-04,504,09:10:00,Sunday,Roncesvalles and King,Late Leaving Garage,6.0,12.0,N/B,4491.0
2019-08-04,511,09:29:00,Sunday,Bathurst / King,Mechanical,7.0,14.0,N/B,4049.0
2019-08-04,504,12:10:00,Sunday,King/Dufferin,Mechanical,8.0,16.0,W/B,4499.0
2019-08-04,509,12:19:00,Sunday,Strachan and Fleet,Held By,9.0,16.0,E/B,4502.0
2019-08-04,505,12:30:00,Sunday,Dundas / Beverly,Investigation,6.0,12.0,E/B,1015.0
2019-08-04,511,12:35:00,Sunday,Bathurst at Queen,Mechanical,9.0,15.0,N/B,4439.0
2019-08-04,504,14:35:00,Sunday,Distillery loop,Mechanical,8.0,17.0,E/B,7472.0
2019-08-04,512,15:21:00,Sunday,St. Clair and Deer park,Investigation,3.0,8.0,W/B,4489.0
2019-08-04,501,15:46:00,Sunday,Glen Manor,Investigation,35.0,41.0,W/B,4432.0
2019-08-04,501,17:06:00,Sunday,Church,General Delay,24.0,14.0,E/B,4135.0
2019-08-04,504,17:06:00,Sunday,Duffering Loop,Mechanical,8.0,17.0,E/B,4512.0
